title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format
In the Dream House (Hardcover),CARMEN MARIA MACHADO,https://www.goodreads.com/book/show/43317482-in-the-dream-house,4.48,"                67,799",2019,676,251,Nonfiction,IN THE DREAM HOUSE,Hardcover
"The Mask of Mirrors (Rook & Rose, #1)",MA CARRICK,https://www.goodreads.com/book/show/51340378-the-mask-of-mirrors,4.06,"                3,805",2021,677,630,Fantasy,THE MASK OF MIRRORS,"Rook & Rose, #1"
Loveless (Paperback),ALICE OSEMAN,https://www.goodreads.com/book/show/42115981-loveless,4.31,"                36,197",2020,678,433,Contemporary,LOVELESS,Paperback
Home Before Dark (Hardcover),RILEY SAGER,https://www.goodreads.com/book/show/50833559-home-before-dark,4.09,"                113,915",2020,679,384,Horror,HOME BEFORE DARK,Hardcover
"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",MACKENZI LEE,https://www.goodreads.com/book/show/29283884-the-gentleman-s-guide-to-vice-and-virtue,4.06,"                121,240",2017,680,513,Historical,THE GENTLEMAN'S GUIDE TO VICE AND VIRTUE,"Montague Siblings, #1"
"Grave Mercy (His Fair Assassin, #1)",ROBIN LAFEVERS,https://www.goodreads.com/book/show/9565548-grave-mercy,3.89,"                104,850",2012,681,549,Fantasy,GRAVE MERCY,"His Fair Assassin, #1"
The Penelopiad (Hardcover),MARGARET ATWOOD,https://www.goodreads.com/book/show/17645.The_Penelopiad,3.71,"                57,828",2005,682,198,Fiction,THE PENELOPIAD,Hardcover
"A Reaper at the Gates (An Ember in the Ashes, #3)",SABAA TAHIR,https://www.goodreads.com/book/show/30809786-a-reaper-at-the-gates,4.2,"                70,428",2018,683,458,Fantasy,A REAPER AT THE GATES,"An Ember in the Ashes, #3"
Queenie (Hardcover),CANDICE CARTY-WILLIAMS,https://www.goodreads.com/book/show/36586697-queenie,3.88,"                116,916",2019,684,330,Fiction,QUEENIE,Hardcover
"Kingsbane (Empirium, #2)",CLAIRE LEGRAND,https://www.goodreads.com/book/show/40523458-kingsbane,3.96,"                13,481",2019,685,608,Fantasy,KINGSBANE,"Empirium, #2"
"These Witches Don't Burn (These Witches Don't Burn, #1)",ISABEL STERLING,https://www.goodreads.com/book/show/36484081-these-witches-don-t-burn,3.76,"                24,153",2019,686,336,Fantasy,THESE WITCHES DON'T BURN,"These Witches Don't Burn, #1"
"Ruined (Ruined, #1)",AMY TINTERA,https://www.goodreads.com/book/show/26074185-ruined,3.84,"                17,112",2016,687,355,Fantasy,RUINED,"Ruined, #1"
Speak (Hardcover),LAURIE HALSE ANDERSON,https://www.goodreads.com/book/show/39280444-speak,4.04,"                537,540",1999,688,224,Young Adult,SPEAK,Hardcover
Fabbricante di lacrime (Kindle Edition),ERIN DOOM,https://www.goodreads.com/book/show/56358568-fabbricante-di-lacrime,4.02,"                12,188",2020,689,672,Romance,FABBRICANTE DI LACRIME,Kindle Edition
Between Wrath and Mercy (The Divine Between #1),JESS WISECUP,https://www.goodreads.com/book/show/59692061-between-wrath-and-mercy,4.38,"                1,017",2022,690,566,Fantasy,BETWEEN WRATH AND MERCY,The Divine Between #1
The Summer Proposal (Paperback),VI KEELAND,https://www.goodreads.com/book/show/59585168-the-summer-proposal,4.26,"                12,701",2022,691,350,Romance,THE SUMMER PROPOSAL,Paperback
"The Unseelie Prince (Maze of Shadows, #1)",KATHRYN ANN KINGSLEY,https://www.goodreads.com/book/show/60042507-the-unseelie-prince,3.85,"                6,059",2021,692,338,Fantasy,THE UNSEELIE PRINCE,"Maze of Shadows, #1"
"The Lawyer (The Dalton Brothers, # 1)",MARNI MANN,https://www.goodreads.com/book/show/58344289-the-lawyer,3.79,"                2,456",hed ,693,330,Romance,THE LAWYER,"The Dalton Brothers, # 1"
Lotus (Kindle Edition),JENNIFER HARTMANN,https://www.goodreads.com/book/show/57359837-lotus,4.33,"                7,662",2021,694,332,Romance,LOTUS,Kindle Edition
"All the Lies (Mindf*ck, #4)",ST ABBY,https://www.goodreads.com/book/show/33361546-all-the-lies,4.58,"                41,767",2016,695,141,Romance,ALL THE LIES,"Mindf*ck, #4"
"Sidetracked (Mindf*ck, #2)",ST ABBY,https://www.goodreads.com/book/show/33271162-sidetracked,4.43,"                45,593",2016,696,116,Romance,SIDETRACKED,"Mindf*ck, #2"
"Stuck with You (The STEMinist Novellas, #2)",ALI HAZELWOOD,https://www.goodreads.com/book/show/59651555-stuck-with-you,3.86,"                14,522",2022,697,127,Romance,STUCK WITH YOU,"The STEMinist Novellas, #2"
"Little Thieves (Little Thieves, #1)",MARGARET OWEN,https://www.goodreads.com/book/show/54017820-little-thieves,4.31,"                6,072",2021,698,512,Fantasy,LITTLE THIEVES,"Little Thieves, #1"
"Crow (Boston Underworld, #1)",A ZAVARELLI,https://www.goodreads.com/book/show/31309440-crow,4.1,"                23,716",2016,699,314,Romance,CROW,"Boston Underworld, #1"
"Ruthless People (Ruthless People, #1)",JJ MCAVOY,https://www.goodreads.com/book/show/21839603-ruthless-people,3.97,"                28,199",2014,700,342,Romance,RUTHLESS PEOPLE,"Ruthless People, #1"
"A Marvellous Light (The Last Binding, #1)",FREYA MARSKE,https://www.goodreads.com/book/show/53217284-a-marvellous-light,4.05,"                12,857",2021,701,377,Fantasy,A MARVELLOUS LIGHT,"The Last Binding, #1"
"Believe Me (Shatter Me, #6.5)",TAHEREH MAFI,https://www.goodreads.com/book/show/58517502-believe-me,4.23,"                22,973",2021,702,177,Science Fiction,BELIEVE ME,"Shatter Me, #6.5"
The Enemy Trap (Kindle Edition),MAREN MOORE,https://www.goodreads.com/book/show/57804491-the-enemy-trap,3.47,"                8,266",hed ,703,219,Romance,THE ENEMY TRAP,Kindle Edition
"Morning Glory Milking Farm (Cambric Creek, #1)",CM NASCOSTA,https://www.goodreads.com/book/show/58678992-morning-glory-milking-farm,3.97,"                9,356",2021,704,250,Romance,MORNING GLORY MILKING FARM,"Cambric Creek, #1"
Sick Fux (ebook),TILLIE COLE,https://www.goodreads.com/book/show/34967829-sick-fux,4.01,"                9,981",2017,705,314,Dark,SICK FUX,ebook
"7th Circle (Hades, #1)",TATE JAMES,https://www.goodreads.com/book/show/55679869-7th-circle,4.48,"                14,406",2021,706,299,Polyamorous,7TH CIRCLE,"Hades, #1"
"Shadow Princess (Zodiac Academy, #4)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/53146871-shadow-princess,4.39,"                35,343",2020,707,724,Fantasy,SHADOW PRINCESS,"Zodiac Academy, #4"
"Delilah Green Doesn't Care (Bright Falls, #1)",ASHLEY HERRING BLAKE,https://www.goodreads.com/book/show/54756850-delilah-green-doesn-t-care,4.25,"                13,332",2022,708,384,Romance,DELILAH GREEN DOESN'T CARE,"Bright Falls, #1"
Milk Fed (Hardcover),MELISSA BRODER,https://www.goodreads.com/book/show/54304105-milk-fed,3.6,"                23,788",2021,709,304,Fiction,MILK FED,Hardcover
"Ricochet (Addicted, #2)",KRISTA RITCHIE,https://www.goodreads.com/book/show/55475465-ricochet,3.91,"                38,874",2013,710,265,Romance,RICOCHET,"Addicted, #2"
"When Sinners Play (Sinners of Hawthorne University, #1)",EVA ASHWOOD,https://www.goodreads.com/book/show/51201991-when-sinners-play,4.07,"                4,605",2020,711,320,Polyamorous,WHEN SINNERS PLAY,"Sinners of Hawthorne University, #1"
"Redeemed (Dirty Air, #4)",LAUREN ASHER,https://www.goodreads.com/book/show/53188931-redeemed,4.47,"                15,305",2021,712,423,Romance,REDEEMED,"Dirty Air, #4"
All This Time (Hardcover),MIKKI DAUGHTRY,https://www.goodreads.com/book/show/50892133-all-this-time,3.96,"                26,512",2020,713,336,Romance,ALL THIS TIME,Hardcover
"Black Sunshine (Dark Eyes, #1)",KARINA HALLE,https://www.goodreads.com/book/show/57236414-black-sunshine,3.76,"                6,620",2021,714,448,Romance,BLACK SUNSHINE,"Dark Eyes, #1"
"Full Tilt (Full Tilt, #1)",EMMA SCOTT,https://www.goodreads.com/book/show/30372977-full-tilt,4.44,"                18,210",2016,715,292,Romance,FULL TILT,"Full Tilt, #1"
A Certain Hunger (Audible Audio),CHELSEA G SUMMERS,https://www.goodreads.com/book/show/44294655-a-certain-hunger,4.02,"                5,984",2019,716,Non,Horror,A CERTAIN HUNGER,Audible Audio
Hani and Ishu's Guide to Fake Dating (Kindle Edition),ADIBA JAIGIRDAR,https://www.goodreads.com/book/show/50266871-hani-and-ishu-s-guide-to-fake-dating,4.17,"                17,169",2021,717,352,Romance,HANI AND ISHU'S GUIDE TO FAKE DATING,Kindle Edition
Sweet Dandelion (Kindle Edition),MICALEA SMELTZER,https://www.goodreads.com/book/show/48745819-sweet-dandelion,4.07,"                7,953",2020,718,610,Romance,SWEET DANDELION,Kindle Edition
Kafka on the Shore (Paperback),HARUKI MURAKAMI,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,4.14,"                383,136",2002,719,467,Fiction,KAFKA ON THE SHORE,Paperback
No Longer Human (Paperback),OSAMU DAZAI,https://www.goodreads.com/book/show/194746.No_Longer_Human,4.11,"                63,734",1948,720,176,Fiction,NO LONGER HUMAN,Paperback
"The Silver Swan (Elite Kings Club, #1)",AMO JONES,https://www.goodreads.com/book/show/33299436-the-silver-swan,3.87,"                19,740",2017,721,261,Dark,THE SILVER SWAN,"Elite Kings Club, #1"
"Crown of Coral and Pearl (Crown of Coral and Pearl, #1)",MARA RUTHERFORD,https://www.goodreads.com/book/show/37777083-crown-of-coral-and-pearl,3.89,"                10,260",2019,722,432,Fantasy,CROWN OF CORAL AND PEARL,"Crown of Coral and Pearl, #1"
"The Dating Plan (Marriage Game, #2)",SARA DESAI,https://www.goodreads.com/book/show/54326395-the-dating-plan,3.67,"                31,834",2021,723,352,Romance,THE DATING PLAN,"Marriage Game, #2"
"Hollow Heathens: Book of Blackwell (Tales of Weeping Hollow, #1)",NICOLE FIORINA,https://www.goodreads.com/book/show/55504599-hollow-heathens,4.19,"                2,813",2020,724,475,Fantasy,HOLLOW HEATHENS: BOOK OF BLACKWELL,"Tales of Weeping Hollow, #1"
"The Unbroken (Magic of the Lost, #1)",CL CLARK,https://www.goodreads.com/book/show/54467051-the-unbroken,3.86,"                4,837",2021,725,464,Fantasy,THE UNBROKEN,"Magic of the Lost, #1"
"Flamecaster (Shattered Realms, #1)",CINDA WILLIAMS CHIMA,https://www.goodreads.com/book/show/23253083-flamecaster,4.03,"                14,353",2016,726,535,Fantasy,FLAMECASTER,"Shattered Realms, #1"
Just Kids (Hardcover),PATTI SMITH,https://www.goodreads.com/book/show/341879.Just_Kids,4.18,"                221,161",2010,727,304,Nonfiction,JUST KIDS,Hardcover
"Alex, Approximately (Hardcover)",JENN BENNETT,https://www.goodreads.com/book/show/30312700-alex-approximately,3.99,"                42,066",2017,728,391,Romance,"ALEX, APPROXIMATELY",Hardcover
"It Ain't Me, Babe (Hades Hangmen, #1)",TILLIE COLE,https://www.goodreads.com/book/show/22020052-it-ain-t-me-babe,4.11,"                41,558",2014,729,466,Romance,"IT AIN'T ME, BABE","Hades Hangmen, #1"
"The Ruin of Kings (A Chorus of Dragons, #1)",JENN LYONS,https://www.goodreads.com/book/show/39863237-the-ruin-of-kings,3.82,"                9,302",2019,730,560,Fantasy,THE RUIN OF KINGS,"A Chorus of Dragons, #1"
"The Thief (The Queen's Thief, #1)",MEGAN WHALEN TURNER,https://www.goodreads.com/book/show/448873.The_Thief,3.86,"                78,279",1996,731,280,Fantasy,THE THIEF,"The Queen's Thief, #1"
"The Lost Sisters (The Folk of the Air, #1.5)",HOLLY BLACK,https://www.goodreads.com/book/show/40772063-the-lost-sisters,3.49,"                40,436",2018,732,50,Fantasy,THE LOST SISTERS,"The Folk of the Air, #1.5"
"Wintersong (Wintersong, #1)",S JAE-JONES,https://www.goodreads.com/book/show/24763621-wintersong,3.54,"                29,309",2017,733,436,Fantasy,WINTERSONG,"Wintersong, #1"
"Winter (The Lunar Chronicles, #4)",MARISSA MEYER,https://www.goodreads.com/book/show/13206900-winter,4.43,"                239,933",2015,734,827,Fantasy,WINTER,"The Lunar Chronicles, #4"
"Cress (The Lunar Chronicles, #3)",MARISSA MEYER,https://www.goodreads.com/book/show/13206828-cress,4.42,"                325,413",2014,735,552,Fantasy,CRESS,"The Lunar Chronicles, #3"
"A Sky Beyond the Storm (An Ember in the Ashes, #4)",SABAA TAHIR,https://www.goodreads.com/book/show/31520883-a-sky-beyond-the-storm,4.35,"                38,909",2020,736,516,Fantasy,A SKY BEYOND THE STORM,"An Ember in the Ashes, #4"
Grown (Hardcover),TIFFANY D JACKSON,https://www.goodreads.com/book/show/49397758-grown,4.27,"                22,959",2020,737,384,Young Adult,GROWN,Hardcover
You Should See Me in a Crown (Hardcover),LEAH JOHNSON,https://www.goodreads.com/book/show/50160619-you-should-see-me-in-a-crown,4.14,"                34,319",2020,738,336,Young Adult,YOU SHOULD SEE ME IN A CROWN,Hardcover
"Boys of Brayshaw High (Brayshaw, #1)",MEAGAN BRANDY,https://www.goodreads.com/book/show/39778773-boys-of-brayshaw-high,4.22,"                26,648",2019,739,376,Romance,BOYS OF BRAYSHAW HIGH,"Brayshaw, #1"
"The Bone Season (The Bone Season, #1)",SAMANTHA SHANNON,https://www.goodreads.com/book/show/17199504-the-bone-season,3.79,"                70,005",2013,740,466,Fantasy,THE BONE SEASON,"The Bone Season, #1"
"The Hazel Wood (The Hazel Wood, #1)",MELISSA ALBERT,https://www.goodreads.com/book/show/34275232-the-hazel-wood,3.58,"                81,908",2018,741,359,Fantasy,THE HAZEL WOOD,"The Hazel Wood, #1"
"Vampire Academy (Vampire Academy, #1)",RICHELLE MEAD,https://www.goodreads.com/book/show/345627.Vampire_Academy,4.11,"                606,829",2007,742,332,Young Adult,VAMPIRE ACADEMY,"Vampire Academy, #1"
"Sleet Kitten (Sleet, #1)",SJ TILLY,https://www.goodreads.com/book/show/57248546-sleet-kitten,3.63,"                4,186",hed ,743,256,Romance,SLEET KITTEN,"Sleet, #1"
Darling Venom (Kindle Edition),PARKER S HUNTINGTON,https://www.goodreads.com/book/show/59766350-darling-venom,4.48,"                16,415",2021,744,712,Romance,DARLING VENOM,Kindle Edition
"Scarlet Angel (Mindf*ck, #3)",ST ABBY,https://www.goodreads.com/book/show/33304878-scarlet-angel,4.46,"                43,303",2016,745,139,Romance,SCARLET ANGEL,"Mindf*ck, #3"
Tempt Me (The Wolf Hotel #1),NINA WEST,https://www.goodreads.com/book/show/53183911-tempt-me,4.05,"                10,657",2015,746,282,Romance,TEMPT ME,The Wolf Hotel #1
"Hunting Adeline (Cat and Mouse Duet, #2)",HD CARLTON,https://www.goodreads.com/book/show/59050133-hunting-adeline,4.27,"                12,342",2022,747,Non,Dark,HUNTING ADELINE,"Cat and Mouse Duet, #2"
"Fierce King (L.A. Ruthless, #1)",SADIE KINCAID,https://www.goodreads.com/book/show/58326055-fierce-king,3.74,"                4,652",hed ,748,Non,Romance,FIERCE KING,"L.A. Ruthless, #1"
"The Devil (Devil's Playground, #1)",ASHLEY JADE,https://www.goodreads.com/book/show/43256003-the-devil,4.25,"                8,384",2018,749,230,Dark,THE DEVIL,"Devil's Playground, #1"
Luna and the Lie (ebook),MARIANA ZAPATA,https://www.goodreads.com/book/show/42883009-luna-and-the-lie,4.12,"                38,855",2018,750,580,Romance,LUNA AND THE LIE,ebook
More Than Once (More Than #1),DOMINIQUE WOLF,https://www.goodreads.com/book/show/58509028-more-than-once,3.71,                610,hed ,751,Non,Romance,MORE THAN ONCE,More Than #1
Not Here to Be Liked,MICHELLE QUACH,https://www.goodreads.com/book/show/54569509-not-here-to-be-liked,3.82,"                10,884",2021,752,Non,Romance,NOT HERE TO BE LIKED,
Make It Sweet (Kindle Edition),KRISTEN CALLIHAN,https://www.goodreads.com/book/show/54447129-make-it-sweet,4.0,"                14,146",2021,753,369,Romance,MAKE IT SWEET,Kindle Edition
"Wicked Beauty (Dark Olympus, #3)",KATEE ROBERT,https://www.goodreads.com/book/show/58945351-wicked-beauty,4.18,"                2,672",2022,754,400,Romance,WICKED BEAUTY,"Dark Olympus, #3"
Lessons in Sin (ebook),PAM GODWIN,https://www.goodreads.com/book/show/57985189-lessons-in-sin,4.17,"                7,125",2021,755,448,Romance,LESSONS IN SIN,ebook
All the Little Lies (English Prep #1),SJ SYLVIS,https://www.goodreads.com/book/show/57142706-all-the-little-lies,3.82,"                6,613",hed ,756,360,Romance,ALL THE LITTLE LIES,English Prep #1
Sicko (ebook),AMO JONES,https://www.goodreads.com/book/show/50489991-sicko,4.1,"                14,941",2020,757,320,Dark,SICKO,ebook
Four (Kindle Edition),SARA CATE,https://www.goodreads.com/book/show/57532288-four,3.81,"                5,353",hed ,758,304,Polyamorous,FOUR,Kindle Edition
"The Architect (Nashville Neighborhood, #3)",NIKKI SLOANE,https://www.goodreads.com/book/show/54908303-the-architect,3.69,"                6,056",2021,759,395,Romance,THE ARCHITECT,"Nashville Neighborhood, #3"
"Long Shot (Hoops, #1)",KENNEDY RYAN,https://www.goodreads.com/book/show/39336718-long-shot,4.23,"                24,233",2018,760,493,Romance,LONG SHOT,"Hoops, #1"
"Cursed Fates (Zodiac Academy, #5)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/50391615-cursed-fates,4.45,"                30,458",2021,761,886,Fantasy,CURSED FATES,"Zodiac Academy, #5"
"Captive of the Horde King (Horde Kings of Dakkar, #1)",ZOEY DRAVEN,https://www.goodreads.com/book/show/44571879-captive-of-the-horde-king,4.02,"                12,374",2019,762,327,Romance,CAPTIVE OF THE HORDE KING,"Horde Kings of Dakkar, #1"
"Fire Night (Devil's Night, #4.5)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/58080366-fire-night,4.11,"                14,266",2020,763,117,Romance,FIRE NIGHT,"Devil's Night, #4.5"
"Empire of the Vampire (Empire of the Vampire, #1)",JAY KRISTOFF,https://www.goodreads.com/book/show/56269205-empire-of-the-vampire,4.43,"                19,650",2021,764,739,Fantasy,EMPIRE OF THE VAMPIRE,"Empire of the Vampire, #1"
"Founded on Goodbye (Mixtape, #1)",KAT SINGLETON,https://www.goodreads.com/book/show/54342842-founded-on-goodbye,3.81,"                1,803",hed ,765,396,Romance,FOUNDED ON GOODBYE,"Mixtape, #1"
"Kiss of War (City of Stars, #1)",CLARA ELROY,https://www.goodreads.com/book/show/55566580-kiss-of-war,3.96,"                2,759",hed ,766,436,Romance,KISS OF WAR,"City of Stars, #1"
"Addicted for Now (Addicted, #3)",KRISTA RITCHIE,https://www.goodreads.com/book/show/55475477-addicted-for-now,4.27,"                34,902",2013,767,513,Romance,ADDICTED FOR NOW,"Addicted, #3"
Whispers and the Roars (Kindle Edition),K WEBSTER,https://www.goodreads.com/book/show/32195246-whispers-and-the-roars,3.93,"                8,824",2016,768,279,Dark,WHISPERS AND THE ROARS,Kindle Edition
99 Percent Mine (Hardcover),SALLY THORNE,https://www.goodreads.com/book/show/36300625-99-percent-mine,3.4,"                64,255",2019,769,368,Romance,99 PERCENT MINE,Hardcover
The Boy with Fire (The Ravence Trilogy #1),APARNA VERMA,https://www.goodreads.com/book/show/57295345-the-boy-with-fire,3.84,                696,2021,770,Non,Fantasy,THE BOY WITH FIRE,The Ravence Trilogy #1
"Pucked (Pucked, #1)",HELENA HUNTING,https://www.goodreads.com/book/show/24504274-pucked,3.94,"                56,410",2015,771,380,Romance,PUCKED,"Pucked, #1"
"Kate (Madison Kate, #4)",TATE JAMES,https://www.goodreads.com/book/show/54449620-kate,4.47,"                20,824",2020,772,594,Polyamorous,KATE,"Madison Kate, #4"
"Fake (Madison Kate, #3)",TATE JAMES,https://www.goodreads.com/book/show/54308167-fake,4.46,"                22,179",2020,773,548,Polyamorous,FAKE,"Madison Kate, #3"
"The Third Best Thing (Fulton U, #3)",MAYA HUGHES,https://www.goodreads.com/book/show/50700718-the-third-best-thing,4.13,"                12,472",2020,774,369,Romance,THE THIRD BEST THING,"Fulton U, #3"
"Liar (Madison Kate, #2)",TATE JAMES,https://www.goodreads.com/book/show/53351017-liar,4.45,"                23,893",2020,775,448,Polyamorous,LIAR,"Madison Kate, #2"
"Tokyo Ever After (Tokyo Ever After, #1)",EMIKO JEAN,https://www.goodreads.com/book/show/54860605-tokyo-ever-after,3.97,"                25,756",2021,776,336,Romance,TOKYO EVER AFTER,"Tokyo Ever After, #1"
The Wrong Game (Kindle Edition),KANDI STEINER,https://www.goodreads.com/book/show/42379672-the-wrong-game,3.94,"                9,988",2018,777,393,Romance,THE WRONG GAME,Kindle Edition
Fool Me Twice (Paperback),CARRIE AARONS,https://www.goodreads.com/book/show/51029776-fool-me-twice,3.68,"                4,993",2020,778,250,Romance,FOOL ME TWICE,Paperback
"Hall of Smoke (Hall of Smoke, #1)",HM LONG,https://www.goodreads.com/book/show/53759101-hall-of-smoke,3.84,"                1,960",2021,779,432,Fantasy,HALL OF SMOKE,"Hall of Smoke, #1"
"Again, but Better (Hardcover)",CHRISTINE RICCIO,https://www.goodreads.com/book/show/41147279-again-but-better,3.65,"                28,845",2019,780,373,Contemporary,"AGAIN, BUT BETTER",Hardcover
Four Psychos (The Dark Side #1),KRISTY CUNNING,https://www.goodreads.com/book/show/36550871-four-psychos,4.21,"                26,001",2017,781,210,Polyamorous,FOUR PSYCHOS,The Dark Side #1
The Cousins (Library Binding),KAREN M MCMANUS,https://www.goodreads.com/book/show/49757149-the-cousins,3.81,"                70,976",2020,782,337,Mystery,THE COUSINS,Library Binding
"The Merciful Crow (The Merciful Crow, #1)",MARGARET OWEN,https://www.goodreads.com/book/show/36483378-the-merciful-crow,3.89,"                13,445",2019,783,384,Fantasy,THE MERCIFUL CROW,"The Merciful Crow, #1"
Something to Talk About (Paperback),MERYL WILSNER,https://www.goodreads.com/book/show/52915426-something-to-talk-about,3.66,"                17,404",2020,784,336,Romance,SOMETHING TO TALK ABOUT,Paperback
"Lightbringer (Empirium, #3)",CLAIRE LEGRAND,https://www.goodreads.com/book/show/36253143-lightbringer,4.02,"                8,094",2020,785,592,Fantasy,LIGHTBRINGER,"Empirium, #3"
"Stolen (Stolen, #1)",LUCY CHRISTOPHER,https://www.goodreads.com/book/show/6408862-stolen,3.9,"                76,705",2009,786,304,Young Adult,STOLEN,"Stolen, #1"
The Binding (Hardcover),BRIDGET COLLINS,https://www.goodreads.com/book/show/39964740-the-binding,3.88,"                58,485",2019,787,437,Fantasy,THE BINDING,Hardcover
"Hothouse Flower (Calloway Sisters, #2)",KRISTA RITCHIE,https://www.goodreads.com/book/show/60690795-hothouse-flower,4.34,"                32,120",2014,788,479,Romance,HOTHOUSE FLOWER,"Calloway Sisters, #2"
"The Shadow Queen (Ravenspire, #1)",CJ REDWINE,https://www.goodreads.com/book/show/23299513-the-shadow-queen,3.75,"                18,656",2016,789,390,Fantasy,THE SHADOW QUEEN,"Ravenspire, #1"
"Dark Harmony (The Bargainer, #3)",LAURA THALASSA,https://www.goodreads.com/book/show/42042471-dark-harmony,4.12,"                30,538",2018,790,436,Fantasy,DARK HARMONY,"The Bargainer, #3"
Emma in the Night (Hardcover),WENDY WALKER,https://www.goodreads.com/book/show/33574211-emma-in-the-night,3.73,"                32,844",2017,791,308,Mystery,EMMA IN THE NIGHT,Hardcover
The Winter Duke (Hardcover),CLAIRE ELIZA BARTLETT,https://www.goodreads.com/book/show/51201758-the-winter-duke,3.57,"                2,176",2020,792,432,Fantasy,THE WINTER DUKE,Hardcover
"The Winner's Curse (The Winner's Trilogy, #1)",MARIE RUTKOSKI,https://www.goodreads.com/book/show/16069030-the-winner-s-curse,3.96,"                104,990",2014,793,355,Fantasy,THE WINNER'S CURSE,"The Winner's Trilogy, #1"
One Percent of You (Kindle Edition),MICHELLE GROSS,https://www.goodreads.com/book/show/43701279-one-percent-of-you,4.13,"                14,088",2019,794,341,Romance,ONE PERCENT OF YOU,Kindle Edition
Faking with Benefits (Paperback),LILY GOLD,https://www.goodreads.com/book/show/61175985-faking-with-benefits,4.14,"                7,348",2021,795,560,Polyamorous,FAKING WITH BENEFITS,Paperback
"Ruining Dahlia (Mafia Wars, #3)",CR JANE,https://www.goodreads.com/book/show/59611023-ruining-dahlia,4.12,"                4,130",hed ,796,564,Polyamorous,RUINING DAHLIA,"Mafia Wars, #3"
The American Roommate Experiment (Paperback),ELENA ARMAS,https://www.goodreads.com/book/show/57514395-the-american-roommate-experiment,4.34,                261,2022,797,400,Romance,THE AMERICAN ROOMMATE EXPERIMENT,Paperback
"The Witch Collector (Witch Walker, #1)",CHARISSA WEAKS,https://www.goodreads.com/book/show/57191885-the-witch-collector,4.05,"                1,988",2021,798,343,Fantasy,THE WITCH COLLECTOR,"Witch Walker, #1"
"Heartless Sky (Zodiac Academy, #7)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/56474282-heartless-sky,4.41,"                18,705",2021,799,989,Fantasy,HEARTLESS SKY,"Zodiac Academy, #7"
"Under One Roof (The STEMinist Novellas, #1)",ALI HAZELWOOD,https://www.goodreads.com/book/show/59651557-under-one-roof,3.84,"                34,403",2022,800,112,Romance,UNDER ONE ROOF,"The STEMinist Novellas, #1"
"Below Zero (The STEMinist Novellas, #3)",ALI HAZELWOOD,https://www.goodreads.com/book/show/59651553-below-zero,3.71,"                6,321",2022,801,124,Romance,BELOW ZERO,"The STEMinist Novellas, #3"
"All the Feels (Spoiler Alert, #2)",OLIVIA DADE,https://www.goodreads.com/book/show/53746015-all-the-feels,3.94,"                12,339",2021,802,385,Romance,ALL THE FEELS,"Spoiler Alert, #2"
Come anima mai (Kindle Edition),ROSSANA SOLDANO,https://www.goodreads.com/book/show/45695714-come-anima-mai,4.57,"                6,092",2019,803,680,LGBT,COME ANIMA MAI,Kindle Edition
After I Do (Paperback),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/18775359-after-i-do,3.99,"                51,412",2014,804,334,Romance,AFTER I DO,Paperback
"Savage Lover (Brutal Birthright, #3)",SOPHIE LARK,https://www.goodreads.com/book/show/55217325-savage-lover,4.02,"                16,508",2020,805,412,Romance,SAVAGE LOVER,"Brutal Birthright, #3"
Untainted (The Crystal Island #1),LILIAN T JAMES,https://www.goodreads.com/book/show/58926201-untainted,4.11,"                2,245",2021,806,322,Fantasy,UNTAINTED,The Crystal Island #1
Perfect Strangers (Kindle Edition),JT GEISSINGER,https://www.goodreads.com/book/show/49730872-perfect-strangers,4.25,"                7,912",2019,807,354,Romance,PERFECT STRANGERS,Kindle Edition
Ghosted (Paperback),JM DARHOWER,https://www.goodreads.com/book/show/36065344-ghosted,4.09,"                20,373",2017,808,452,Romance,GHOSTED,Paperback
"Vicious Kings (The Dark Elite, #1)",EVA ASHWOOD,https://www.goodreads.com/book/show/48905498-vicious-kings,3.92,"                5,600",2020,809,280,Polyamorous,VICIOUS KINGS,"The Dark Elite, #1"
Morally Corrupt (Kindle Edition),VERONICA LANCET,https://www.goodreads.com/book/show/55055572-morally-corrupt,4.07,"                1,300",hed ,810,Non,Dark,MORALLY CORRUPT,Kindle Edition
"Hero (Marry the Scot, #3)",JOLIE VINES,https://www.goodreads.com/book/show/45417781-hero,3.91,"                2,427",2019,811,337,Romance,HERO,"Marry the Scot, #3"
Milk and Honey (Paperback),RUPI KAUR,https://www.goodreads.com/book/show/23513349-milk-and-honey,4.02,"                532,615",2014,812,204,Poetry,MILK AND HONEY,Paperback
"Bloodied Hands (Bellandi Crime Syndicate, #1)",ADELAIDE FORREST,https://www.goodreads.com/book/show/50663432-bloodied-hands,3.69,"                5,944",2020,813,363,Romance,BLOODIED HANDS,"Bellandi Crime Syndicate, #1"
"Mafia Mistress (The Kings of Italy, #1)",MILA FINELLI,https://www.goodreads.com/book/show/58900284-mafia-mistress,4.04,"                6,214",2021,814,304,Romance,MAFIA MISTRESS,"The Kings of Italy, #1"
